id,price_doc
30474,5101000.0
30475,7621000.0
30476,5620000.0
30477,5400000.0
30478,4745000.0
30479,6094000.0
30480,4889000.0
30481,4245000.0
30482,5319000.0
30483,4825000.0
30484,5447000.0
30485,4215000.0
30486,4649000.0
30487,4308000.0
30488,5804000.0
30489,6257000.0
30490,19607000.0
30491,14175000.0
30492,5620000.0
30493,12715000.0
30494,6536000.0
30495,7890000.0
30496,14400000.0
30497,6941000.0
30498,4428000.0
30499,7182000.0
30500,9281000.0
30501,5538000.0
30502,3180000.0
30503,5274000.0
30504,5045000.0
30505,10741000.0
30506,3835000.0
30507,4712000.0
30508,6065000.0
30509,6645000.0
30510,7230000.0
30511,5522000.0
30512,5100000.0
30513,4861000.0
30514,5280000.0
30515,6258000.0
30516,5324000.0
30517,5317000.0
30518,5689000.0
30519,4415000.0
30520,4907000.0
30521,5254000.0
30522,6172000.0
30523,5322000.0
30524,7131000.0
30525,5540000.0
30526,4698000.0
30527,5786000.0
30528,5076000.0
30529,5336000.0
30530,5326000.0
30531,10817000.0
30532,5173000.0
30533,6679000.0
30534,5297000.0
30535,8141000.0
30536,6454000.0
30537,9390000.0
30538,4599000.0
30539,14244000.0
30540,7191000.0
30541,5342000.0
30542,4202000.0
30543,5265000.0
30544,6601000.0
30545,5554000.0
30546,4196000.0
30547,6521000.0
30548,4944000.0
30549,4786000.0
30550,9654000.0
30551,4233000.0
30552,2549000.0
30553,5212000.0
30554,9439000.0
30555,6250000.0
30556,5995000.0
30557,7231000.0
30558,7205000.0
30559,4955000.0
30560,4824000.0
30561,5390000.0
30562,7137000.0
30563,4782000.0
30564,5476000.0
30565,5806000.0
30566,7097000.0
30567,4271000.0
30568,6539000.0
30569,7791000.0
30570,5106000.0
30571,6472000.0
30572,4715000.0
30573,5028000.0
30574,5936000.0
30575,5075000.0
30576,5089000.0
30577,5387000.0
30578,4029000.0
30579,5392000.0
30580,4839000.0
30581,4880000.0
30582,10653000.0
30583,6515000.0
30584,4743000.0
30585,2938000.0
30586,8935000.0
30587,6169000.0
30588,5000000.0
30589,6809000.0
30590,11598000.0
30591,5341000.0
30592,5930000.0
30593,14299000.0
30594,8792000.0
30595,4474000.0
30596,7125000.0
30597,5247000.0
30598,5898000.0
30599,10745000.0
30600,6751000.0
30601,5359000.0
30602,3188000.0
30603,9775000.0
30604,4402000.0
30605,5693000.0
30606,21366000.0
30607,5210000.0
30608,7920000.0
30609,6273000.0
30610,3152000.0
30611,6068000.0
30612,6541000.0
30613,5528000.0
30614,17141000.0
30615,6831000.0
30616,6170000.0
30617,7050000.0
30618,4630000.0
30619,4839000.0
30620,3694000.0
30621,6565000.0
30622,5236000.0
30623,5513000.0
30624,6408000.0
30625,5488000.0
30626,5409000.0
30627,6894000.0
30628,5359000.0
30629,5246000.0
30630,4849000.0
30631,5659000.0
30632,4193000.0
30633,5010000.0
30634,10388000.0
30635,6576000.0
30636,5115000.0
30637,8275000.0
30638,5406000.0
30639,5794000.0
30640,4918000.0
30641,9155000.0
30642,5100000.0
30643,6750000.0
30644,5898000.0
30645,7083000.0
30646,5434000.0
30647,5038000.0
30648,16680000.0
30649,3660000.0
30650,4418000.0
30651,4019000.0
30652,4631000.0
30653,6505000.0
30654,4991000.0
30655,6024000.0
30656,3972000.0
30657,5210000.0
30658,7119000.0
30659,4751000.0
30660,7126000.0
30661,5415000.0
30662,8201000.0
30663,23450000.0
30664,6033000.0
30665,6112000.0
30666,3679000.0
30667,4786000.0
30668,6238000.0
30669,5714000.0
30670,4746000.0
30671,6365000.0
30672,6137000.0
30673,9255000.0
30674,7471000.0
30675,4202000.0
30676,6222000.0
30677,4628000.0
30678,16488000.0
30679,5286000.0
30680,5674000.0
30681,2147000.0
30682,6603000.0
30683,7506000.0
30684,4307000.0
30685,6703000.0
30686,6761000.0
30687,4558000.0
30688,4145000.0
30689,6566000.0
30690,16869000.0
30691,4583000.0
30692,5304000.0
30693,10554000.0
30694,4500000.0
30695,6182000.0
30696,5298000.0
30697,6626000.0
30698,6717000.0
30699,5043000.0
30700,4695000.0
30701,5889000.0
30702,5033000.0
30703,3732000.0
30704,9672000.0
30705,6066000.0
30706,18482000.0
30707,5454000.0
30708,8947000.0
30709,5253000.0
30710,7166000.0
30711,4166000.0
30712,4084000.0
30713,4806000.0
30714,5271000.0
30715,3880000.0
30716,6615000.0
30717,5113000.0
30718,9286000.0
30719,12414000.0
30720,6367000.0
30721,3016000.0
30722,8668000.0
30723,6195000.0
30724,11397000.0
30725,5229000.0
30726,9708000.0
30727,7597000.0
30728,9069000.0
30729,4744000.0
30730,5179000.0
30731,6478000.0
30732,5264000.0
30733,10723000.0
30734,5446000.0
30735,5304000.0
30736,6333000.0
30737,5094000.0
30738,5035000.0
30739,4725000.0
30740,6507000.0
30741,8487000.0
30742,4797000.0
30743,4691000.0
30744,8624000.0
30745,6794000.0
30746,5304000.0
30747,11315000.0
30748,15387000.0
30749,4741000.0
30750,6321000.0
30751,4079000.0
30752,6281000.0
30753,6677000.0
30754,5380000.0
30755,6142000.0
30756,10490000.0
30757,4941000.0
30758,9380000.0
30759,5388000.0
30760,6144000.0
30761,6653000.0
30762,6469000.0
30763,9943000.0
30764,6200000.0
30765,5083000.0
30766,3992000.0
